	IMDB	SST2	laptop	resta	movie	tweet	MNLI	QNLI    WNLI	anli	snli	RTE	QQP	MRPC
IMDB	1.00	0.72	0.89	0.82	0.78	0.88	0.54	0.45    0.58	0.51	0.53	0.86	0.63	0.88
SST2	0.72	1.00	0.69	0.73	0.66	0.71	0.68	0.56    0.68	0.64	0.68	0.69	0.76	0.68
laptop	0.89	0.69	1.00	0.81	0.77	0.87	0.51	0.43	0.56	0.49	0.51	0.85	0.60	0.88
resta	0.82	0.73	0.81	1.00	0.76	0.83	0.54	0.45	0.61	0.52	0.54	0.79	0.64	0.81
movie	0.78	0.66	0.77	0.76	1.00	0.74	0.47	0.38	0.65	0.45	0.47	0.83	0.57	0.82
tweet	0.88	0.71	0.87	0.83	0.74	1.00	0.53	0.45	0.56	0.50	0.53	0.81	0.62	0.85
MNLI	0.54	0.68	0.51	0.54	0.47	0.53	1.00	0.68	0.61	0.75	0.79	0.51	0.71	0.50
QNLI	0.45	0.56	0.43	0.45	0.38	0.45	0.68	1.00	0.53	0.66	0.68	0.42	0.61	0.42
WNLI	0.58	0.68	0.56	0.61	0.65	0.56	0.61	0.53	1.00	0.59	0.64	0.63	0.66	0.62
anli	0.51	0.64	0.49	0.52	0.45	0.50	0.75	0.66	0.59	1.00	0.77	0.48	0.68	0.48
snli	0.53	0.68	0.51	0.54	0.47	0.53	0.79	0.68	0.64	0.77	1.00	0.51	0.73	0.50
RTE	0.86	0.69	0.85	0.79	0.83	0.81	0.51	0.42	0.63	0.48	0.51	1.00	0.60	0.88
QQP	0.63	0.76	0.60	0.64	0.57	0.62	0.71	0.61	0.66	0.68	0.73	0.60	1.00	0.60
MRPC	0.88	0.68	0.88	0.81	0.82	0.85	0.50	0.42	0.62	0.48	0.50	0.88	0.60	1.00
